AgentSkill	智能代理技能
Setup required	需要设置
Show additional settings	显示更多设置
Show important first	重要通知优先
Show unread badge	显示未读角标
Sign in to use this app	登录后使用此应用
Situation report	情况报告
Skills	技能
SLA breached	SLA 已超时
Something’s wrong. Try later.	出现问题，请稍后重试。
Source branch: %1$s, target branch: %2$s	源分支：%1$s，目标分支：%2$s
Squash & merge	压缩并合并
Squash and merge	压缩并合并
Start time must be before end time	开始时间必须早于结束时间
Status Page	状态页
Stop and archive	停止并归档
Stop requested	已请求停止
Strikethrough	删除线
Sub-initiative of	所属子计划
Sub-issue of	所属子任务
Sub-team of	所属子团队
Sub-teams	子团队
Supplementary	补充
Support	支持
Switch workspace	切换工作区
Tab	标签
Tab selection menu	标签选择菜单
Team cannot be changed on a shared issue	共享任务无法更改团队
Team retired — document is read-only	团队已停用——文档为只读
Team retired — issue is read-only	团队已停用——任务为只读
Team retired — project is read-only	团队已停用——项目为只读
Text style	文本样式
The %1$s team is not part of the %2$s project.	%1$s 团队不属于 %2$s 项目。
The agent did not make any changes yet.	智能代理尚未进行任何更改。
The project must have at least one team.	项目至少需要一个团队。
This agent is still working. Are you sure you'd like to stop it and archive the session?	智能代理仍在工作，确定要停止并归档此会话吗？
This version is no longer supported. Please update to the latest version to continue using the app.	当前版本已不再支持，请更新到最新版后继续使用。
This will delete all notifications about issues that were marked as done or cancelled.	这将删除所有已完成或已取消任务的通知。
This will delete all notifications in your inbox.	这将删除收件箱中的所有通知。
This will delete all read notifications in your inbox.	这将删除收件箱中的所有已读通知。
This workspace's plan does not include code reviews.	当前工作区套餐不包含代码审查。
Thought for a few seconds	思考了几秒
to mention any issue, project, or document	提及任意任务、项目或文档
Underline	下划线
Unindent	减少缩进
Unknown (%1$s)	未知（%1$s）
Unknown customer	未知客户
Unknown health	未知健康度
Unpin from tab bar	从标签栏取消固定
Unpinned from tab bar	已从标签栏取消固定
Up to date with %1$s	已与 %1$s 保持最新
Update with merge commit	通过合并提交更新
Update with rebase	通过变基更新
Updates from initiatives and projects in your workspace will show here	工作区中计划和项目的更新会显示在这里
Updates from initiatives and projects that you're a part of or subscribed to will show here	你参与或订阅的计划和项目更新会显示在这里
Updates will show here	更新会显示在这里
Upgrade Required	需要升级
User ID: %1$s	用户 ID：%1$s
Welcome to	欢迎使用
Which workspace would you like to log in to? You can change workspaces at any point from Settings, or by long pressing on the Home tab.	请选择要登录的工作区。你可以随时在“设置”中切换，也可以长按“主页”标签切换。
Worked	已处理
Worked for a while	已处理一段时间
